alert_id,customer_id,amount,account_age_days,prior_orders,prior_disputes,delivery_status,delivery_proof,device_fingerprint,address_hash,days_since_purchase,complaint_category,complaint_text,persona,ring_archetype,text_contradiction,would_win_if_fought
ALT00000,CUST00649,3368.45,1500,47,1,delivered,otp,dev_d9a09007,addr_65d0b517,3,not_as_described,Item is not what the listing showed. Quality is poor.,honest,,False,1
ALT00001,CUST01361,1963.48,424,23,0,lost,none,dev_3c38c3f0,addr_61fe800a,17,item_not_received,I have not received this package even after 17 days.,honest,,False,0
ALT00002,CUST01740,1868.58,148,17,1,delivered,signed,dev_172f0d9b,addr_02ac1c61,5,not_as_described,Item is not what the listing showed. Quality is poor.,opportunist,,False,1
ALT00003,CUST00583,2799.47,247,6,1,delivered,otp,dev_c62f3461,addr_b9fc829f,34,duplicate_charge,Two payments went out for a single purchase.,honest,,False,0
ALT00004,CUST00194,5213.14,1179,31,0,lost,none,dev_1cf14654,addr_28ce231e,21,unauthorised,"Unknown charge from your store, I never placed any order.",honest,,False,0
ALT00005,CUST01192,1347.83,810,23,1,in_transit,none,dev_567c5d44,addr_fed747be,18,item_not_received,Nothing was delivered to my address. Please refund the amount. Kindly help.,honest,,False,0
ALT00006,CUST01182,1413.19,88,1,2,in_transit,none,dev_435b6625,addr_e7e399b8,36,unauthorised,"This charge is not mine, my card was used without permission.",ring,household,False,0
ALT00007,CUST00638,239.69,1179,32,1,lost,none,dev_c90ec689,addr_8a45e02e,43,not_as_described,"Received the wrong variant, this is not what I ordered. Kindly help.",honest,,False,0
ALT00008,CUST00106,4953.32,707,47,0,delivered,signed,dev_cc21cbdb,addr_d86065a2,1,duplicate_charge,Two payments went out for a single purchase.,honest,,False,1
ALT00009,CUST00960,1534.81,454,18,3,in_transit,otp,dev_85a0daf6,addr_e656cfbc,26,not_as_described,Item is not what the listing showed. Quality is poor. This keeps happening.,opportunist,,False,1
ALT00010,CUST01149,1174.92,1221,23,0,in_transit,none,dev_26d3e222,addr_09b4413c,22,item_not_received,Nothing was delivered to my address. Please refund the amount.,honest,,False,0
ALT00011,CUST00963,1293.29,1251,42,1,in_transit,otp,dev_04de78f8,addr_938f2b90,9,item_not_received,I have not received this package even after 9 days.,honest,,False,1
ALT00012,CUST01395,3670.42,979,34,1,delivered,signed,dev_741f5545,addr_9b247a55,13,unauthorised,I did not authorise this transaction on my card.,honest,,False,1
